,users,authors,views,likes,reposts,count_cmts,playlists,time_posts
82,clxro,clxro x Maia x Tinx - Tua Shawty,"20,204 plays
20.2K","View all likes
497","View all reposts
57",99 comments,Top 50: All music genres,11 October 2020
83,POP SMOKE,Pop Smoke - Dior,"56,975,081 plays
56.9M","View all likes
824K","View all reposts
13.4K","36,748 comments",Top 50: All music genres,26 July 2019
84,Mohamed Ramadan,أغنية أنا مافيا - محمد رمضان - النسخة الأصلية | Ana Mafia song - Mohamed Ramadan,"65,050,589 plays
65M","View all likes
1.67M","View all reposts
32K","17,270 comments",All music genres,1 January 2019
85,Mohamed Ramadan,أغنية فيرس - محمد رمضان - النسخة الأصلية | Virus Song - Mohamed Ramadan,"31,784,127 plays
31.7M","View all likes
859K","View all reposts
13.2K","11,290 comments",All music genres,20 March 2019
86,Adam Amin,ناسينى ليه تامر حسنى,"46,941,323 plays
46.9M","View all likes
1.39M","View all reposts
22.5K","8,933 comments",All music genres,22 August 2018
87,galaxy music ✪,Ayam,"15,262,680 plays
15.2M","View all likes
469K","View all reposts
5,916","3,731 comments",All music genres,5 March 2019
88,Music Alwakil ✪,احمد كامل - مبقتش اخاف من الليل (النسخة الاصلية بالكلمات ),"31,612,454 plays
31.6M","View all likes
904K","View all reposts
12.6K","5,550 comments",All music genres,8 December 2018
89,Ahmed Walid 43,مهرجان تشكيل عصابي -غناء شواحة أبوكمال و افندينا حمو حلاقولو و توزيع زيزو المايسترو - انفجار2018,"23,886,523 plays
23.8M","View all likes
503K","View all reposts
6,980","3,531 comments",All music genres,24 February 2018
90,Nik14,HENSY - Поболело и прошло,"8,444,289 plays
8.44M","View all likes
153K","View all reposts
1,740","1,733 comments",All music genres,26 May 2020
91,Miyagi & Andy Panda,Minor,"6,505,867 plays
6.5M","View all likes
115K","View all reposts
1,233","1,490 comments",All music genres,17 July 2020
92,BTS,약속 By JIMIN Of BTS,"250,706,570 plays
250M","View all likes
1.21M","View all reposts
114K","142,191 comments",All music genres,30 December 2018
93,BIG BABY TAPE,Big Baby Tape - Treesha [LEAK],"735,016 plays
735K","View all likes
14.6K","View all reposts
285","1,501 comments",All music genres,24 July 2020
94,AhmedtheArab,Put It On Me,"270,803 plays
270K","View all likes
3,373","View all reposts
2,310",69 comments,All music genres,5 August 2020
95,Nickytine,Pisces,"426,363 plays
426K","View all likes
2,879","View all reposts
151",195 comments,All music genres,1 August 2020
96,Cardi B,WAP feat. Megan Thee Stallion,"34,987,800 plays
34.9M","View all likes
605K","View all reposts
16.3K","61,560 comments",Top 50: All music genres,7 August 2020
97,POP SMOKE,Pop Smoke - Mood Swings (feat. Lil Tjay),"34,279,332 plays
34.2M","View all likes
572K","View all reposts
8,534","30,991 comments",Top 50: All music genres,3 July 2020
98,POP SMOKE,Pop Smoke - For The Night (feat. DaBaby & Lil Baby),"35,108,036 plays
35.1M","View all likes
625K","View all reposts
9,895","34,695 comments",Top 50: All music genres,3 July 2020
99,Internet Money Records,"Lemonade Ft. Don Toliver, Gunna & NAV","22,987,603 plays
22.9M","View all likes
440K","View all reposts
20.2K","22,646 comments",Top 50: All music genres,14 August 2020
100,Wegz | ويجز,Wegz - El Ghasala | 2020 ويجز - الغسالة,"23,614,622 plays
23.6M","View all likes
797K","View all reposts
7,386","10,011 comments",Top 50: All music genres,29 July 2020
101,octobersveryown,Drake - Laugh Now Cry Later (feat. Lil Durk),"17,885,337 plays
17.8M","View all likes
342K","View all reposts
12.4K","21,669 comments",Top 50: All music genres,14 August 2020
102,trangkieeuf,Hoa Nở Không Màu - Hoài Lâm,"5,217,961 plays
5.21M","View all likes
49.4K","View all reposts
3,521",888 comments,Top 50: All music genres,20 May 2020
103,Sundeflow,Ex’s Hate Me (Part 2) - Chill verse - Amee (ft. Bray ),"3,507,416 plays
3.5M","View all likes
30.2K","View all reposts
807",325 comments,Top 50: All music genres,30 June 2020
104,HIEUTHUHAI,HIEUTHUHAI - Bật Nhạc Lên ft. Harmonie (prod. by NEMYA),"3,377,322 plays
3.37M","View all likes
44.9K","View all reposts
1,533",352 comments,Top 50: All music genres,1 June 2020
105,Touliver,BIGCITYBOI,"4,700,976 plays
4.7M","View all likes
47.7K","View all reposts
1,562",556 comments,Top 50: All music genres,7 July 2020
106,Sơn Tùng M-TP Official,CÓ CHẮC YÊU LÀ ĐÂY ( SƠN TÙNG M - TP ),"4,073,339 plays
4.07M","View all likes
48.6K","View all reposts
2,828","1,169 comments",Top 50: All music genres,6 July 2020
107,Kur0x,Cứ Chill Thôi - Chillies ft Suni Hạ Linh & Rhymastic,"4,329,305 plays
4.32M","View all likes
45.1K","View all reposts
1,236",331 comments,Top 50: All music genres,11 July 2020
108,Braamuli­­9R,DJ TIK TOK 2020 - DJ YANG LAGI VIRAL SEKARANG TERBARU FULL BASS - ( By Bramuli ),"1,017,122 plays
1.01M","View all likes
24K","View all reposts
537",702 comments,All music genres,11 January 2020
109,NSP_Official || L3 Remix,Al Ghazali ft. Chelsea Shania - Kesayanganku (N.S.PUTRA L3 Remix) #Demo,"256,069 plays
256K","View all likes
2,378","View all reposts
64",32 comments,All music genres,12 January 2020
110,4K LEE,DJ Percaya Padaku TIK TOK - Ungu Band • Remix Slow • Terbaru 2020 • Full Bass !,"448,181 plays
448K","View all likes
7,877","View all reposts
141",71 comments,All music genres,13 January 2020
111,Pridt Bull,Ada rindu untukmu - pance f pondaag _ cover vanny vabiola (lyrics).mp3,"860,456 plays
860K","View all likes
13.8K","View all reposts
219",217 comments,All music genres,9 January 2020
112,mang sada,Part.16 Sikk Asikk - DJ Mang Sada,"181,526 plays
181K","View all likes
6,260","View all reposts
68",341 comments,All music genres,12 January 2020
113,ahmad fahrudin,Lyrick-SEWATES-KERJO-Kuat-kuatne-atimu-nompo-pacobanine-gusti_rg_jt1x39yI.mp3,"387,363 plays
387K","View all likes
5,576","View all reposts
68",83 comments,All music genres,13 January 2020
114,BTS,Still With You by JK of BTS,"45,916,516 plays
45.9M","View all likes
989K","View all reposts
109K",0,All music genres,4 June 2020
115,UNO - TOPIC,Amor,"1,608,697 plays
1.6M","View all likes
1,049","View all reposts
23",69 comments,All music genres,13 June 2020
116,Nickytine,Xd,"1,218,261 plays
1.21M","View all likes
8,532","View all reposts
25",149 comments,All music genres,11 June 2020
117,UNO - TOPIC,Subiendo,"1,575,320 plays
1.57M","View all likes
1,378","View all reposts
29",92 comments,All music genres,13 June 2020
118,UNO - TOPIC,Besame,"1,476,059 plays
1.47M","View all likes
206","View all reposts
9",51 comments,All music genres,13 June 2020
119,UNO - TOPIC,Cuando,"1,338,525 plays
1.33M","View all likes
408","View all reposts
12",69 comments,All music genres,13 June 2020
120,Baby Jesus (DaBaby),ROCKSTAR (feat. Roddy Ricch),"41,999,368 plays
41.9M","View all likes
656K","View all reposts
13.9K","44,197 comments",All music genres,17 April 2020
121,SAINt JHN,SAINt JHN - Roses (Imanbek Remix),"31,520,371 plays
31.5M","View all likes
564K","View all reposts
14.3K","11,850 comments",All music genres,13 September 2019
122,S1mba,Rover (feat. DTG),"8,016,795 plays
8.01M","View all likes
110K","View all reposts
2,126","2,626 comments",All music genres,4 March 2020
123,BROTHERS OFFICIAL,BROTHERS - Run A Muck,"1,518,006 plays
1.51M","View all likes
18.4K","View all reposts
287",517 comments,All music genres,9 March 2020
124,ONEFOUR_OFFICIAL,SAY IT AGAIN Feat. A$AP Ferg,"1,116,675 plays
1.11M","View all likes
13.5K","View all reposts
295",592 comments,All music genres,6 May 2020
125,Emma Kruger,Riff Raff & Co - Sleepy Lullaby,"5,286,215 plays
5.28M","View all likes
1,527","View all reposts
256",586 comments,All music genres,11 July 2016
126,Stijn Kennis,ADF Samski - No Hook 3 #FPVN,"873,389 plays
873K","View all likes
16.4K","View all reposts
401",468 comments,Top 50: All music genres,29 November 2019
127,Mezzanotte Network,Turtleface - Carried away,"77,361 plays
77.3K","View all likes
678","View all reposts
72",6 comments,Top 50: All music genres,28 August 2020
128,Bert Smit,Yssi SB - Scooter Ft Qlas&Blacka // volg @bnf_smit op insta voor meer leaks,"105,020 plays
105K","View all likes
1,465","View all reposts
21",33 comments,Top 50: All music genres,6 September 2020
129,DAIMS Mixtapes,#DAIMS The Mixtape VOL.5,"12,299 plays
12.2K","View all likes
727","View all reposts
14",16 comments,Top 50: All music genres,18 October 2020
130,CORPSE,🌧️ 𝘢𝘨𝘰𝘳𝘢𝘱𝘩𝘰𝘣𝘪𝘤 🌧️,"1,960,216 plays
1.96M","View all likes
46.1K","View all reposts
2,548","5,671 comments",Top 50: All music genres,21 October 2020
131,Internet Money Records,"Lemonade Ft. Don Toliver, Gunna & NAV","22,988,285 plays
22.9M","View all likes
440K","View all reposts
20.2K","22,646 comments",Top 50: All music genres,14 August 2020
132,DJ DandySP,DandySP - NONSTOP FUNKOT MANTAN NGAJAK BALIKAN VS ILUSI TAK BERTEPI VOL2 2018.mp3,"759,825 plays
759K","View all likes
16.4K","View all reposts
584",334 comments,All music genres,29 June 2018
133,PESONA JINGGA,VIA VALLEN - Meraih Bintang (OFFICIAL SONG ASIAN GAMES 2018),"8,005,396 plays
8M","View all likes
121K","View all reposts
3,245","1,086 comments",All music genres,29 June 2018
134,Vito Varel Arya,SKA 86 ft NIKISUKA - MENUNGGU KAMU (Reggae SKA Version),"2,172,284 plays
2.17M","View all likes
29.4K","View all reposts
528",232 comments,All music genres,28 June 2018
135,Snowlie Isabella,Calum Scott - YOU ARE THE REASON - by Olivia Penalva,"2,132,616 plays
2.13M","View all likes
26.8K","View all reposts
648",155 comments,All music genres,28 June 2018
136,*{Dirga_@prio201}*,DJ GUE MAH GITU ORANGNYA REMIX ♫ LAGU TIK TOK TERBARU {2k18} [Dirga@prio201],"799,692 plays
799K","View all likes
13.9K","View all reposts
375",87 comments,All music genres,25 June 2018
137,✪Acill Chastello✪,✪Acill Chastello✪ - DJ TERBARU 2018 DJ NONA MANIS DARI LEMBATA TERBARU.Full 2k18,"728,506 plays
728K","View all likes
13.6K","View all reposts
422",100 comments,All music genres,30 June 2018
138,XXXTENTACION,XXXTENTACION - Fuck Love (feat. Trippie Redd),"262,923,754 plays
262M","View all likes
2.75M","View all reposts
116K","71,918 comments",all music genres,25 August 2017
139,Cardi B,Bodak Yellow,"97,742,667 plays
97.7M","View all likes
1.31M","View all reposts
50.7K","13,620 comments",all music genres,16 June 2017
140,Kodak Black,Transportin',"65,196,664 plays
65.1M","View all likes
793K","View all reposts
31.5K","3,647 comments",all music genres,18 August 2017
141,Lil Uzi Vert,Sauce It Up,"75,143,368 plays
75.1M","View all likes
788K","View all reposts
28.2K","8,277 comments",all music genres,17 November 2017
142,Lil Pump,Gucci Gang,"143,905,104 plays
143M","View all likes
1.74M","View all reposts
79.8K","32,265 comments",all music genres,28 August 2017
143,Tropix Remixes,Win and Woo x Bryce Fox - Chicago (Tropix Remix),"508,286 plays
508K","View all likes
13.1K","View all reposts
2,617",121 comments,all music genres,12 September 2017
144,Powfu,death bed | Feat. beabadoobee,"42,556,486 plays
42.5M","View all likes
725K","View all reposts
23.3K","25,174 comments",All music genres,10 February 2019
145,DripReport,Skechers,"11,746,049 plays
11.7M","View all likes
222K","View all reposts
3,532","6,075 comments",All music genres,13 January 2020
146,revenant 🕊,SALAHKU - Yonnyboii,"258,341 plays
258K","View all likes
3,269","View all reposts
64",38 comments,All music genres,28 October 2019
147,Zoygarcia,Pasrah - Damia (akustik),"139,486 plays
139K","View all likes
2,021","View all reposts
38",43 comments,All music genres,29 March 2020
148,BTS,약속 By JIMIN Of BTS,"250,706,788 plays
250M","View all likes
1.21M","View all reposts
114K","142,191 comments",All music genres,30 December 2018
149,Syakir Imran,SAKIT - Zynakal Ft Yonnyboi ( Official Lyric Video ),"237,571 plays
237K","View all likes
3,522","View all reposts
54",40 comments,All music genres,21 December 2019
150,0,0,0,0,0,0,0,0
151,Mezzanotte Network,Fady x Mina - Innocence,"226,157 plays
226K","View all likes
5,066","View all reposts
1,684",14 comments,Top 50: All music genres,14 February 2020
152,Mezzanotte Network,180dazz - Trees,"172,225 plays
172K","View all likes
1,311","View all reposts
721",13 comments,Top 50: All music genres,14 February 2020
153,Metanoia Music,REZarin x MarkMate - Look Away,"298,670 plays
298K","View all likes
5,776","View all reposts
1,070",69 comments,Top 50: All music genres,6 March 2020
154,Mezzanotte Network,Cheap Monk - Luz,"138,872 plays
138K","View all likes
2,700","View all reposts
1,048",13 comments,Top 50: All music genres,14 February 2020
155,Metanoia Music,Módl - Universe,"460,575 plays
460K","View all likes
6,010","View all reposts
1,651",28 comments,Top 50: All music genres,7 February 2020
156,ARKA RECORDS,ANH KHÔNG THỀ GÌ ĐÂU ANH LÀM. #AKTGĐ - PHÚC DU,"4,890,873 plays
4.89M","View all likes
44.8K","View all reposts
1,852",411 comments,All music genres,14 February 2019
157,Hades,24h - LyLy ft Magazine,"7,286,605 plays
7.28M","View all likes
51.9K","View all reposts
2,470",268 comments,All music genres,23 November 2018
158,jeremy zucker,comethru,"16,498,538 plays
16.4M","View all likes
260K","View all reposts
7,388","3,238 comments",All music genres,11 September 2018
159,"Vũ,",LẠ LÙNG - Vũ. (Original),"8,077,883 plays
8.07M","View all likes
87.8K","View all reposts
7,948",905 comments,All music genres,24 December 2016
160,Rhy Official,RHY | Khi Nào Em Mới Yêu Anh? | Official Audio,"1,737,954 plays
1.73M","View all likes
14.3K","View all reposts
629",91 comments,All music genres,12 January 2019
161,All Vpop ✪ Nhạc Việt Nam mới nhất,Thêm Bao Nhiêu Lâu - Đạt G,"2,571,240 plays
2.57M","View all likes
18.3K","View all reposts
764",111 comments,All music genres,11 January 2019
162,Madiop Seye,Singuila - Mieux loin de moi,"244,595 plays
244K","View all likes
1,771","View all reposts
166",1 comment,All music genres,12 October 2013
163,Madiop Seye,Singuila-Elle Me Saoule,"57,568 plays
57.5K","View all likes
389","View all reposts
37",0,All music genres,12 October 2013
